cityName,country,lat,lng,temp,humidity,cloudiness,winds
upata,ve,8.02,-62.41,75.53,83,64,6.17
faanui,pf,-16.48,-151.75,76.92,100,36,12.44
matay,eg,28.42,30.79,82.77,40,0,14.0
kavieng,pg,-2.57,150.8,82.5,100,64,3.94
luanda,ao,-8.83,13.24,69.8,94,40,4.7
saint-leu,re,-21.15,55.28,67.14,52,90,9.17
shimoda,jp,34.7,138.93,76.74,100,92,27.76
butaritari,ki,3.07,172.79,82.95,100,24,6.62
gat,ly,14.69,-16.54,74.63,89,12,6.96
krasnozerskoye,ru,53.98,79.24,52.58,85,0,4.38
beringovskiy,ru,63.05,179.32,50.19,100,80,11.77
busselton,au,-33.64,115.35,55.28,100,68,5.17
bluff,nz,-23.58,149.07,68.37,64,0,4.61
albany,au,42.65,-73.75,74.79,74,75,4.7
punta arenas,cl,-53.16,-70.91,39.2,69,75,14.99
cape town,za,-33.93,18.42,51.8,81,0,2.24
longyearbyen,sj,78.22,15.63,48.2,76,90,9.17
darbhanga,in,26.16,85.9,75.03,97,92,5.95
mora,cm,61.01,14.54,67.02,59,8,3.94
bethel,us,60.79,-161.76,62.6,63,90,11.41
faya,td,18.39,42.45,72.48,60,0,3.36
east london,za,-33.02,27.91,64.23,100,8,24.29
fairbanks,us,64.84,-147.72,71.6,53,75,5.82
tiksi,ru,71.64,128.87,50.73,69,0,10.42
mandalgovi,mn,45.76,106.27,62.16,100,92,14.34
salalah,om,17.01,54.1,78.8,88,90,9.17
anshun,cn,26.25,105.93,68.1,93,100,7.74
saskylakh,ru,71.97,114.09,52.85,77,0,6.29
lashio,mm,22.93,97.75,69.09,99,92,1.92
pilar,ph,-34.46,-58.91,54.21,93,90,10.29
lena,es,32.59,-89.61,93.2,38,20,9.17
kem,ru,2.68,33.77,63.51,91,68,2.59
oistins,bb,13.07,-59.53,80.6,74,20,17.22
zheleznodorozhnyy,ru,55.75,38.0,73.85,60,0,8.95
tasiilaq,gl,65.61,-37.64,42.8,93,24,6.93
erdenet,mn,49.03,104.04,54.96,90,76,3.6
nikolskoye,ru,59.7,30.79,73.4,83,0,8.95
caravelas,br,-17.73,-39.27,77.0,83,0,11.41
severo-kurilsk,ru,50.68,156.12,58.83,88,32,4.05
stepnogorsk,kz,52.35,71.88,51.77,84,0,2.71
jamestown,sh,-33.21,138.6,52.89,64,0,4.38
la ronge,ca,55.1,-105.3,77.0,41,40,6.93
hasaki,jp,35.73,140.83,71.6,100,75,13.87
new norfolk,au,-42.78,147.06,42.8,75,20,8.05
valdivia,cl,-39.81,-73.25,42.8,87,75,2.24
katsuura,jp,33.93,134.5,78.8,88,75,5.84
mayumba,ga,-3.44,10.65,67.38,97,0,3.38
kloulklubed,pw,7.04,134.26,81.46,88,90,3.36
kushiro,jp,43.11,144.15,62.6,100,90,5.82
ossora,ru,59.24,163.07,57.21,98,64,6.96
hermanus,za,-34.42,19.24,43.26,100,36,2.15
hobart,au,-42.88,147.33,42.8,75,20,8.05
narsaq,gl,60.91,-46.05,44.6,81,75,5.82
teya,ru,21.05,-89.07,78.8,94,75,13.87
rikitea,pf,-23.12,-134.97,74.31,100,88,6.73
vardo,no,39.62,-77.74,72.16,93,90,6.93
ilulissat,gl,69.22,-51.1,39.2,86,75,4.7
ushuaia,ar,-54.81,-68.31,50.0,37,0,11.41
